datetime,24_HR_PCP
2023-05-04,0.25
2023-05-05,2.54
2023-05-06,3.05
2023-05-07,2.79
2023-05-08,3.56
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.25
2023-05-13,0.0
2023-05-14,2.03
2023-05-15,2.03
2023-05-16,0.25
2023-05-17,2.54
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.25
2023-05-26,0.51
2023-05-27,0.0
2023-05-28,0.25
2023-05-29,0.51
2023-05-30,0.0
2023-05-31,13.72
2023-06-01,0.25
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.25
2023-06-05,0.0
2023-06-06,2.29
2023-06-07,0.25
2023-06-08,2.54
2023-06-09,7.62
2023-06-10,0.51
2023-06-11,0.76
2023-06-12,0.0
2023-06-13,7.62
2023-06-14,0.0
2023-06-15,0.0
2023-06-16,0.0
2023-06-17,0.0
2023-06-18,0.76
2023-06-19,4.83
2023-06-20,0.0
2023-06-21,303.28
2023-06-22,0.0
2023-06-23,303.02
2023-06-24,0.25
2023-06-25,0.25
2023-06-26,1.27
2023-06-27,0.76
2023-06-28,0.0
2023-06-29,305.31
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,305.05
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,304.8
2023-07-28,0.51
2023-07-29,304.55
2023-07-30,0.25
2023-07-31,304.55
2023-08-01,0.0
2023-08-02,0.0
2023-08-03,1.78
2023-08-04,1.78
2023-08-05,307.85
2023-08-06,8.38
2023-08-07,5.33
2023-08-08,0.0
2023-08-09,0.51
2023-08-10,0.0
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,50.8
2023-08-16,0.0
2023-08-17,50.04
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,34.29
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,0.76
2023-08-28,0.0
2023-08-29,84.33
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,6.6
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,90.68
2023-09-15,90.17
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,0.25
2023-09-22,90.17
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,0.0
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,0.25
2023-10-01,1.52
2023-10-02,0.76
2023-10-03,1.78
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,0.0
2023-10-10,1.78
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,0.25
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,0.0
