datetime,AVG_TMP
2017-09-19,53.94
2017-09-20,55.68
2017-09-21,48.29
2017-09-22,50.76
2017-09-23,53.68
2017-09-24,56.78
2017-09-25,59.64
2017-09-26,63.8
2017-09-27,66.24
2017-09-28,65.28
2017-09-29,61.76
2017-09-30,58.43
2017-10-01,51.98
2017-10-02,48.44
2017-10-03,51.65
2017-10-04,52.54
2017-10-05,54.18
2017-10-06,58.0
2017-10-07,55.4
2017-10-08,52.13
2017-10-09,52.52
2017-10-10,49.86
2017-10-11,45.21
2017-10-12,42.82
2017-10-13,50.94
2017-10-14,47.99
2017-10-15,52.78
2017-10-16,54.0
2017-10-17,55.48
2017-10-18,54.75
2017-10-19,50.65
2017-10-20,46.32
2017-10-21,44.62
2017-10-22,53.5
2017-10-23,60.13
2017-10-24,62.06
2017-10-25,59.82
2017-10-26,57.8
2017-10-27,60.12
2017-10-28,59.9
2017-10-29,56.32
2017-10-30,55.92
2017-10-31,50.28
2017-11-01,50.24
2017-11-02,44.72
2017-11-03,44.32
2017-11-04,40.2
2017-11-05,40.09
2017-11-06,40.74
2017-11-07,39.36
2017-11-08,49.6
2017-11-09,48.76
2017-11-10,50.08
2017-11-11,49.86
2017-11-12,50.33
2017-11-13,49.4
2017-11-14,42.62
2017-11-15,44.02
2017-11-16,44.38
2017-11-17,40.56
2017-11-18,33.34
2017-11-19,31.82
2017-11-20,42.61
2017-11-21,57.73
2017-11-22,60.39
2017-11-23,55.55
2017-11-24,46.28
2017-11-25,47.14
2017-11-26,55.0
2017-11-27,44.1
2017-11-28,37.08
2017-11-29,36.68
2017-11-30,34.96
2017-12-01,34.47
2017-12-02,36.26
2017-12-03,39.26
2017-12-04,34.08
2017-12-05,36.68
2017-12-06,43.07
2017-12-07,43.63
2017-12-08,40.1
2017-12-09,38.14
2017-12-10,35.13
2017-12-11,33.28
2017-12-12,31.61
2017-12-13,34.69
2017-12-14,36.87
2017-12-15,34.16
2017-12-16,36.32
2017-12-17,33.51
2017-12-18,36.34
2017-12-19,41.15
2017-12-20,38.42
2017-12-21,36.2
2017-12-22,33.69
2017-12-23,39.34
2017-12-24,38.37
2017-12-25,43.64
2017-12-26,39.04
2017-12-27,40.62
2017-12-28,42.3
2017-12-29,39.78
2017-12-30,43.79
2017-12-31,41.56
2018-01-01,35.89
2018-01-02,36.14
2018-01-03,39.14
2018-01-04,45.18
2018-01-05,48.14
2018-01-06,42.5
2018-01-07,32.4
2018-01-08,39.16
2018-01-09,45.11
2018-01-10,40.54
2018-01-11,46.98
2018-01-12,43.52
2018-01-13,42.27
2018-01-14,41.04
2018-01-15,44.94
2018-01-16,45.54
2018-01-17,53.54
2018-01-18,45.16
2018-01-19,39.93
2018-01-20,39.25
2018-01-21,40.76
2018-01-22,40.25
2018-01-23,41.09
2018-01-24,38.51
2018-01-25,37.12
2018-01-26,39.33
2018-01-27,44.34
2018-01-28,47.15
2018-01-29,46.01
2018-01-30,46.27
2018-01-31,41.34
2018-02-01,48.27
2018-02-02,53.17
2018-02-03,52.22
2018-02-04,50.26
2018-02-05,47.56
2018-02-06,43.7
2018-02-07,46.22
2018-02-08,47.34
2018-02-09,46.92
2018-02-10,41.84
2018-02-11,32.61
2018-02-12,38.2
2018-02-13,39.14
2018-02-14,38.11
2018-02-15,37.89
2018-02-16,38.02
2018-02-17,44.22
2018-02-18,36.61
2018-02-19,30.9
2018-02-20,33.8
2018-02-21,38.66
2018-02-22,34.04
2018-02-23,32.7
2018-02-24,40.03
2018-02-25,39.42
2018-02-26,35.98
2018-02-27,33.16
2018-02-28,37.67
2018-03-01,40.74
2018-03-02,38.18
2018-03-03,40.86
2018-03-04,39.98
2018-03-05,40.44
2018-03-06,42.89
2018-03-07,49.36
2018-03-08,49.72
2018-03-09,46.8
2018-03-10,47.8
2018-03-11,51.04
2018-03-12,51.15
2018-03-13,52.02
2018-03-14,44.82
2018-03-15,42.77
2018-03-16,41.84
2018-03-17,43.32
2018-03-18,44.5
2018-03-19,45.06
2018-03-20,47.79
2018-03-21,51.62
2018-03-22,40.82
2018-03-23,40.44
2018-03-24,38.52
2018-03-25,41.02
2018-03-26,42.76
2018-03-27,47.8
2018-03-28,51.92
2018-03-29,53.35
2018-03-30,51.99
2018-03-31,56.99
2018-04-01,49.23
2018-04-02,43.82
2018-04-03,45.36
2018-04-04,55.78
2018-04-05,52.94
2018-04-06,54.6
2018-04-07,52.7
2018-04-08,51.26
2018-04-09,53.33
2018-04-10,51.22
2018-04-11,49.74
2018-04-12,43.54
2018-04-13,45.5
2018-04-14,49.31
2018-04-15,45.38
2018-04-16,42.32
2018-04-17,44.79
2018-04-18,47.92
2018-04-19,48.1
2018-04-20,52.74
2018-04-21,53.76
2018-04-22,53.16
2018-04-23,57.1
2018-04-24,60.82
2018-04-25,66.28
2018-04-26,65.89
2018-04-27,54.78
2018-04-28,51.0
2018-04-29,49.55
2018-04-30,49.71
2018-05-01,51.51
2018-05-02,54.84
2018-05-03,60.54
2018-05-04,61.19
2018-05-05,63.63
2018-05-06,65.02
2018-05-07,61.37
2018-05-08,63.36
2018-05-09,62.06
2018-05-10,56.31
2018-05-11,52.19
2018-05-12,57.58
2018-05-13,63.04
2018-05-14,67.46
2018-05-15,66.84
2018-05-16,57.6
2018-05-17,65.3
2018-05-18,61.88
2018-05-19,61.0
2018-05-20,58.5
2018-05-21,62.48
2018-05-22,66.54
2018-05-23,67.82
2018-05-24,70.3
2018-05-25,58.72
2018-05-26,56.89
2018-05-27,60.07
2018-05-28,65.65
2018-05-29,58.9
2018-05-30,56.7
2018-05-31,55.99
2018-06-01,58.71
2018-06-02,64.88
2018-06-03,67.64
2018-06-04,59.81
2018-06-05,58.24
2018-06-06,65.1
2018-06-07,64.37
2018-06-08,62.17
2018-06-09,52.39
2018-06-10,52.35
2018-06-11,66.24
2018-06-12,67.4
2018-06-13,64.5
2018-06-14,64.59
2018-06-15,58.96
2018-06-16,56.9
2018-06-17,62.52
2018-06-18,66.81
2018-06-19,70.66
