OPENET_ID,Acres,ACRES_FTR_GEOM,HUC8_name,HUC8,GRIDMET_ID,HUC12_name,HUC12,OWRD,Region,ITYPE,srctype,IRR_EFF
ORx_158773,313.32860513368763,312.8008896,Lost,18010204,573879,Grizzly Butte,180102040802,14,18.0,3.0,1.0,0.5
ORx_158788,85.15835262827848,85.00858889,Lost,18010204,573879,Grizzly Butte,180102040802,14,18.0,3.0,1.0,0.5
ORx_158792,5.953312851354648,5.942844519,Lost,18010204,573879,Grizzly Butte,180102040802,14,18.0,1.0,0.0,0.85
ORx_158789,36.68569305823631,36.60260395,Lost,18010204,573879,Grizzly Butte,180102040802,14,18.0,3.0,1.0,0.5
ORx_158759,122.08036647794412,121.86885,Lost,18010204,573879,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158793,19.98931847540123,19.96391508,Lost,18010204,573879,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158760,126.86484907390566,126.6734931,Lost,18010204,573878,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158780,41.25038891844313,41.20803051,Lost,18010204,575264,Whiteline Reservoir,180102040801,14,18.0,1.0,3.0,0.85
ORx_158781,74.67614082571696,74.5559106,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,2.0,1.0,0.75
ORx_158758,13.9820054387858,13.95965246,Lost,18010204,573879,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158761,71.85298351112459,71.74808039,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,3.0,0.85
ORx_158755,111.47781216466917,111.2905028,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158757,122.16532015538226,121.9579723,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158775,20.267658766433417,20.24131945,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158776,23.51799533582479,23.48249837,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158774,20.936180089265005,20.9040928,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158782,6.571276460776184,6.572143003,Lost,18010204,575264,Whiteline Reservoir,180102040801,14,18.0,2.0,1.0,0.75
ORx_158899,52.52958799032487,52.45069919,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,1.0,3.0,0.85
ORx_158900,8.971635848119435,8.951985507,Lost,18010204,575264,Whiteline Reservoir,180102040801,14,18.0,3.0,1.0,0.5
ORx_158901,2.428666845986258,2.426601617,Lost,18010204,575264,Whiteline Reservoir,180102040801,14,18.0,3.0,2.0,0.5
ORx_158906,0.82585160993627,0.82088063,Lost,18010204,573879,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158932,9.660591937715195,9.628895505,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158933,7.290543250006056,7.271558475,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,0.0,0.5
ORx_158934,9.689962136099354,9.659584157,Lost,18010204,573878,Grizzly Butte,180102040802,14,18.0,3.0,1.0,0.5
ORx_158935,7.647537393909802,7.611029303,Lost,18010204,573879,Grizzly Butte,180102040802,14,18.0,3.0,1.0,0.5
ORx_158936,13.055190430958204,13.03310165,Lost,18010204,573878,Brookside Creek-Frontal Swan Lake,180102040803,14,18.0,3.0,1.0,0.5
ORx_158947,201.6309403241568,201.3030381,Lost,18010204,573880,Swan Lake,180102040804,14,18.0,3.0,1.0,0.5
ORx_158753,26.191667160039593,26.12605038,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158752,48.281438584236035,48.18437616,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,2.0,1.0,0.75
ORx_158777,28.305564794247186,28.25755357,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158743,6.169642427509914,6.162797982,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
